timestamp,accX,accY,accZ,label
0,-1.7000000000000002,4.1000000000000005,8.6,saltar
16,-1.8,4.6000000000000005,6.1000000000000005,saltar
32,-1.8,4.800000000000001,5.300000000000001,saltar
48,-2.2,5.2,5.9,saltar
64,-2.1,5.4,6.9,saltar
80,-1.6,5.7,6.9,saltar
96,-1.3,5.7,6.6000000000000005,saltar
112,-1.9000000000000001,6.300000000000001,7.1000000000000005,saltar
128,-2.1,6.6000000000000005,7.6000000000000005,saltar
144,-3,7,7.4,saltar
160,-3.3000000000000003,7.1000000000000005,6.5,saltar
176,-3.5,7.800000000000001,5,saltar
192,-3.3000000000000003,7.4,4.9,saltar
208,-2.4000000000000004,6.800000000000001,6.4,saltar
224,-1.9000000000000001,6.4,7.1000000000000005,saltar
240,-1.2000000000000002,5.5,8.6,saltar
256,-1.5,5.1000000000000005,10.200000000000001,saltar
272,-1.8,5.6000000000000005,11.3,saltar
288,-1.8,5.6000000000000005,11.3,saltar
304,-2.7,6.300000000000001,11.9,saltar
320,-2.8000000000000003,6.5,11.4,saltar
336,-3,7.300000000000001,10.200000000000001,saltar
352,-3.1,7.7,9.4,saltar
368,-3,7.2,8.1,saltar
384,-1.8,5.7,7.800000000000001,saltar
400,-1,5.1000000000000005,8.3,saltar
416,0.2,4.5,9.1,saltar
432,0.7000000000000001,4.7,9.200000000000001,saltar
448,1.5,5.2,7.7,saltar
464,1.3,6.5,5.1000000000000005,saltar
480,1.5,7,4.5,saltar
496,1.7000000000000002,6.7,4.7,saltar
512,0.7000000000000001,7.2,7,saltar
528,0.7000000000000001,6.4,7.4,saltar
544,0.7000000000000001,5.1000000000000005,7.2,saltar
560,0.9,4.800000000000001,7.1000000000000005,saltar
576,1,4.800000000000001,7.1000000000000005,saltar
592,0.6000000000000001,5,6.7,saltar
608,0.4,5.300000000000001,6.4,saltar
624,-0.1,5.800000000000001,6.4,saltar
640,-1.2000000000000002,5.9,6.6000000000000005,saltar
656,-1.7000000000000002,6.2,6.6000000000000005,saltar
672,-1.6,6.2,6.4,saltar
688,-1.6,6.2,6.4,saltar
704,-0.8,6.1000000000000005,6,saltar
720,-0.8,6.2,6.1000000000000005,saltar
736,-0.4,6.7,6.300000000000001,saltar
752,-0.1,6.7,6.5,saltar
768,-0.1,6.1000000000000005,7,saltar
784,-0.6000000000000001,5.6000000000000005,7.5,saltar
800,-1,5.7,7.9,saltar
816,-1.9000000000000001,5.7,8.4,saltar
832,-2.1,5.7,8.3,saltar
848,-1.9000000000000001,5.4,7.4,saltar
864,-1.8,5.7,6.5,saltar
880,-2.4000000000000004,6.1000000000000005,6.5,saltar
896,-4,6.7,8,saltar
912,-4.4,6.6000000000000005,9.5,saltar
928,-3.7,5.2,11.4,saltar
944,-2.2,4.800000000000001,10.4,saltar
960,-1.8,5.1000000000000005,10,saltar
976,-3,5.300000000000001,10.3,saltar
992,-4,5,10.8,saltar
1008,-3.9000000000000004,4.6000000000000005,10.5,saltar
1024,-2.8000000000000003,4,8,saltar
1040,-1.1,3.9000000000000004,6.300000000000001,saltar
1056,-0.6000000000000001,4,6.9,saltar
1072,-0.2,3.2,8.1,saltar
1088,-0.2,3.2,8.1,saltar
1104,0,3.3000000000000003,7.5,saltar
1120,-0.1,3.6,7.300000000000001,saltar
1136,0.7000000000000001,3.8000000000000003,7.6000000000000005,saltar
1152,0.1,2.9000000000000004,7.5,saltar
1168,0,2.7,7.4,saltar
1184,0.1,2.2,8.8,saltar
1200,0.1,3.3000000000000003,8.700000000000001,saltar
1216,-0.1,6.300000000000001,6.6000000000000005,saltar
1232,0.2,6.300000000000001,7.300000000000001,saltar
1248,-0.5,5.9,11.700000000000001,saltar
1264,-3.4000000000000004,7.6000000000000005,19.5,saltar
1280,-4.5,7.7,22.3,saltar
1296,-3.6,7.300000000000001,21.3,saltar
1312,-2.1,7.7,18.8,saltar
1328,-1.9000000000000001,8.3,13.3,saltar
1344,-3,10.100000000000001,11.4,saltar
1360,-4,10,10,saltar
1376,-5.1000000000000005,9,9.700000000000001,saltar
1392,-3.8000000000000003,6.300000000000001,10.4,saltar
1408,-2,4.6000000000000005,10.600000000000001,saltar
1424,2.1,2.3000000000000003,9.9,saltar
1440,1.6,3.1,8,saltar
1456,1.1,3.8000000000000003,6.6000000000000005,saltar
1472,0.6000000000000001,4.6000000000000005,3.8000000000000003,saltar
1488,0.6000000000000001,4.6000000000000005,3.8000000000000003,saltar
1504,2.1,3.7,-0.6000000000000001,saltar
1520,1.9000000000000001,3.6,-1.3,saltar
1536,-0.7000000000000001,4.2,-1.9000000000000001,saltar
1552,-2.4000000000000004,4.6000000000000005,-1.4000000000000001,saltar
1568,-2.1,4,3.3000000000000003,saltar
1584,-1.4000000000000001,3.2,4.2,saltar
1600,0,2.1,3.6,saltar
1616,1,1.5,3.8000000000000003,saltar
1632,1,1.1,4.3,saltar
1648,0.6000000000000001,1,5,saltar
1664,0.4,1.1,5.4,saltar
1680,-0.8,1.3,4.7,saltar
1696,-1.3,2.8000000000000003,3.6,saltar
1712,-1,3.6,4,saltar
1728,0.2,5.4,7.2,saltar
1744,0,7.7,7.4,saltar
1760,-1.2000000000000002,9.700000000000001,5.9,saltar
1776,-5.7,14.3,9,saltar
1792,-6.800000000000001,14.3,17.5,saltar
1808,-6.4,12.8,19.8,saltar
1824,-6.1000000000000005,12.4,19.700000000000003,saltar
1840,-4.2,13.3,15.8,saltar
1856,-3.4000000000000004,13.9,14.600000000000001,saltar
1872,-2.6,12.600000000000001,12.200000000000001,saltar
